Timestamp,CPU_Usage(%),Memory_Usage(%),Net_Sent(Bytes),Net_Recv(Bytes),Disk_Read(Bytes),Disk_Write(Bytes),Battery_Percent
14:09:00,28.8,62.4,26761216,76000256,2359296,4882432,40
14:09:05,28.3,62.6,21867520,61978624,10452992,3219456,40
14:09:10,26.0,62.5,25650176,72682496,4648960,5984256,40
14:09:15,25.0,63.1,24133632,68599808,9191424,4194304,40
14:09:20,21.2,62.8,22833152,64859136,20480,1634304,40
14:09:25,22.0,62.8,25073664,71360512,151552,9101312,40
14:09:30,25.2,62.8,25443328,71849984,942080,1990656,40
14:09:35,23.5,62.8,24880128,70860800,299008,1925120,40
14:09:40,21.4,62.9,23478272,66795520,163840,974848,40
14:09:45,24.8,63.0,23510016,66679808,4870144,1019904,39
14:09:50,22.5,63.1,22411264,63503360,40960,1105920,39
14:09:55,20.8,63.1,20577280,58783744,290816,5685248,39
14:10:00,22.4,62.8,21516288,60605440,557056,3276800,39
14:10:05,22.3,62.7,23797760,67551232,204800,999424,39
14:10:10,25.3,62.4,32553984,92456960,421888,1003520,39
